Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
3222667235,unknown,"1,32216E+12",,R46323/64,ZK25,BR,69475454,1,1,682.00,PCE,P,18/08/2023,808.80,-1
3222667236,unknown,"1,32216E+12",,R4633.33,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667237,unknown,"1,32216E+12",,R4633.1,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667233,unknown,"1,32216E+12",,R4633.2,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667233,unknown,"1,32216E+12",,R4633.3,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667232,unknown,"1,32216E+12",,R4633.4,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667231,unknown,"1,32216E+12",,R4633.5,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667232,unknown,"1,32216E+12",,R4633.6,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667233,unknown,"1,32216E+12",,R4633.7,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667236,unknown,"1,32216E+12",,R4633.8,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667235,unknown,"1,32216E+12",,R4633.3,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667236,unknown,"1,32216E+12",,R4633/16,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667237,unknown,"1,32216E+12",,R4633/8,ZK25,BR,69475454,1,1,686.00,PCE,P,18/08/2023,78.60,-1
3222667233,unknown,"1,32216E+12",,R46331/64,ZK25,BR,69475454,1,1,827.00,PCE,P,18/08/2023,871.10,-1
3222667233,unknown,"1,32216E+12",,R46333/64,ZK25,BR,69475454,1,1,827.00,PCE,P,18/08/2023,871.10,-1
3222667322,unknown,"1,32216E+12",,R46335/64,ZK25,BR,69475454,1,1,861.00,PCE,P,18/08/2023,817.10,-1
3222667321,unknown,"1,32216E+12",,R46337/64,ZK25,BR,69475454,1,1,201.00,PCE,P,18/08/2023,888.00,-1
3222667322,unknown,"1,32216E+12",,R46333/64,ZK25,BR,69475454,1,1,201.00,PCE,P,18/08/2023,888.00,-1
3222667323,unknown,"1,32216E+12",,R4634.33,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667326,unknown,"1,32216E+12",,R4634.335,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667325,unknown,"1,32216E+12",,R4634.1,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667326,unknown,"1,32216E+12",,R4634.2,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667327,unknown,"1,32216E+12",,R4634.3,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667323,unknown,"1,32216E+12",,R4634.4,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667323,unknown,"1,32216E+12",,R4634.5,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667312,unknown,"1,32216E+12",,R4634.6,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667311,unknown,"1,32216E+12",,R4634.7,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667312,unknown,"1,32216E+12",,R4634.8,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667313,unknown,"1,32216E+12",,R4634.3,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667316,unknown,"1,32216E+12",,R4635.33,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667315,unknown,"1,32216E+12",,R4635.335,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667316,unknown,"1,32216E+12",,R4635.1,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667317,unknown,"1,32216E+12",,R4635.2,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667313,unknown,"1,32216E+12",,R4635.3,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667313,unknown,"1,32216E+12",,R4635.4,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667322,unknown,"1,32216E+12",,R4635.5,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667321,unknown,"1,32216E+12",,R4635.6,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667322,unknown,"1,32216E+12",,R4635.7,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667323,unknown,"1,32216E+12",,R4635.8,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667326,unknown,"1,32216E+12",,R4635.3,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667325,unknown,"1,32216E+12",,R4635/16,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667326,unknown,"1,32216E+12",,R4635/32,ZK25,BR,69475454,1,1,22.80,PCE,P,18/08/2023,86.18,-1
3222667327,unknown,"1,32216E+12",,R4635/8,ZK25,BR,69475454,1,1,201.00,PCE,P,18/08/2023,888.00,-1
3222667323,unknown,"1,32216E+12",,R4636.33,ZK25,BR,69475454,1,1,26.70,PCE,P,18/08/2023,88.01,-1
3222667323,unknown,"1,32216E+12",,R4636.335,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667332,unknown,"1,32216E+12",,R4636.1,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667331,unknown,"1,32216E+12",,R4636.2,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667332,unknown,"1,32216E+12",,R4636.3,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667333,unknown,"1,32216E+12",,R4636.4,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667336,unknown,"1,32216E+12",,R4636.5,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667335,unknown,"1,32216E+12",,R4636.6,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667336,unknown,"1,32216E+12",,R4636.7,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667337,unknown,"1,32216E+12",,R4636.8,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222667333,unknown,"1,32216E+12",,R4636.3,ZK25,BR,69475454,1,1,666.00,PCE,P,18/08/2023,66.60,-1
